,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,ukiah,39.1502,-123.2078,55.38,54,1,3.09,US,1612490336
85,matelandia,-25.2408,-53.9964,71.58,94,0,4.12,BR,1612490568
86,middletown,39.5151,-84.3983,36.98,100,90,7.72,US,1612490507
87,labrea,-7.2586,-64.7981,77.0,92,100,0.49,BR,1612490568
88,tuktoyaktuk,69.4541,-133.0374,-34.62,67,40,4.63,CA,1612490282
89,georgetown,5.4112,100.3354,80.58,69,20,3.19,MY,1612489956
90,natal,-5.795,-35.2094,78.78,78,0,3.6,BR,1612490568
91,cape town,-33.9258,18.4232,66.97,82,0,4.63,ZA,1612490353
92,luderitz,-26.6481,15.1594,66.83,61,0,7.55,NA,1612490159
93,karagaylinskiy,54.172,86.5521,6.26,92,100,1.19,RU,1612490569
94,luwuk,-0.9516,122.7875,82.97,72,100,0.88,ID,1612490569
95,upernavik,72.7868,-56.1549,-5.59,70,99,2.51,GL,1612490160
96,laguna,38.421,-121.4238,60.78,31,1,3.09,US,1612490096
97,chekhov,55.1431,37.4711,16.99,96,100,6.1,RU,1612490569
98,palana,59.1167,159.9667,4.75,96,98,0.74,RU,1612490569
99,clyde river,70.4692,-68.5914,-20.22,76,90,7.72,CA,1612490569
100,lagoa,39.05,-27.9833,54.23,73,71,9.5,PT,1612490185
101,palmer,42.1584,-72.3287,22.98,93,20,1.29,US,1612490205
102,kindu,-2.95,25.95,68.7,92,50,0.21,CD,1612490570
103,ribeira grande,38.5167,-28.7,55.47,69,43,8.69,PT,1612489912
104,thompson,55.7435,-97.8558,-9.42,77,90,3.6,CA,1612489897
105,narsaq,60.9167,-46.05,13.98,52,86,2.06,GL,1612490173
106,rapid valley,44.0625,-103.1463,31.98,43,90,6.17,US,1612490196
107,faya,18.3851,42.4509,55.38,62,0,4.12,SA,1612490570
108,fairbanks,64.8378,-147.7164,-13.02,70,20,0.56,US,1612489922
109,diu,20.7141,70.9822,65.33,40,34,2.02,IN,1612490571
110,hun,29.1268,15.9477,55.97,87,0,3.09,LY,1612490571
111,contamana,-7.3333,-75.0167,74.26,96,100,0.23,PE,1612490571
112,mar del plata,-38.0023,-57.5575,64.97,72,20,4.12,AR,1612489964
113,nikolskoye,59.7035,30.7861,7.99,85,75,4.0,RU,1612490158
114,marawi,7.9986,124.2928,81.98,78,72,1.34,PH,1612490571
115,tasiilaq,65.6145,-37.6368,26.58,80,75,4.63,GL,1612490172
116,oranjemund,-28.55,16.4333,62.11,93,64,4.75,NA,1612490572
117,krupina,48.3554,19.0647,37.97,86,92,0.28,SK,1612490572
118,salta,-24.7859,-65.4117,69.78,56,75,3.09,AR,1612490546
119,vaasa,63.096,21.6158,1.38,92,40,0.51,FI,1612490572
120,kruisfontein,-34.0033,24.7314,62.98,94,0,1.42,ZA,1612490194
121,dongsheng,39.8161,109.9776,29.28,78,0,11.41,CN,1612490185
122,naze,28.3667,129.4833,66.18,55,20,2.57,JP,1612489929
123,yar-sale,66.8333,70.8333,-21.97,87,3,2.76,RU,1612490573
124,khatanga,71.9667,102.5,-30.84,78,0,4.28,RU,1612490161
125,sursk,53.0754,45.6846,36.98,99,100,5.29,RU,1612490573
126,champerico,14.3,-91.9167,68.99,93,9,2.84,GT,1612490573
127,amantea,39.1332,16.0746,53.98,76,100,5.14,IT,1612490573
128,monchegorsk,67.9397,32.8739,9.98,94,94,3.54,RU,1612490573
129,daru,-9.0763,143.2092,88.97,63,59,4.79,PG,1612490573
130,mananara,-16.1667,49.7667,74.78,90,16,1.66,MG,1612490573
131,kaitangata,-46.2817,169.8464,59.99,71,67,5.36,NZ,1612490171
132,norman wells,65.282,-126.8329,-43.62,66,75,1.03,CA,1612490168
133,port lincoln,-34.7333,135.8667,63.52,67,99,9.52,AU,1612490560
134,carnarvon,-24.8667,113.6333,78.78,76,90,7.72,AU,1612490164
135,provideniya,64.3833,-173.3,-5.33,89,100,12.16,RU,1612490157
136,kainantu,-6.2887,145.8655,74.8,68,54,0.49,PG,1612490574
137,rio grande,-32.035,-52.0986,67.98,77,20,5.66,BR,1612490334
138,lasa,46.6166,10.7002,38.98,86,0,2.57,IT,1612490574
139,obo,5.3998,26.4869,69.62,36,33,1.14,CF,1612490574
140,vaini,-21.2,-175.2,82.38,89,90,3.6,TO,1612490164
141,ypsonas,34.6884,32.9574,55.38,71,0,1.54,CY,1612490575
142,hithadhoo,-0.6,73.0833,82.34,76,100,4.78,MV,1612489898
143,sitka,57.0531,-135.33,37.38,93,20,8.75,US,1612490144
144,terrace,54.5163,-128.6035,31.98,100,90,2.57,CA,1612490296
145,codrington,-38.2667,141.9667,63.3,58,52,4.66,AU,1612490165
146,baruun-urt,46.6806,113.2792,9.37,93,29,3.55,MN,1612490576
147,pampa,35.5362,-100.9599,39.18,33,1,2.06,US,1612490513
148,zhigansk,66.7697,123.3711,-41.66,76,0,5.32,RU,1612490183
149,inhambane,-23.865,35.3833,79.99,85,32,1.43,MZ,1612490156
150,half moon bay,37.4636,-122.4286,55.38,62,1,4.12,US,1612490576
151,vanimo,-2.6741,141.3028,87.02,63,50,2.36,PG,1612490576
152,tevaitoa,-16.7833,-151.5,81.89,66,0,2.84,PF,1612490577
153,wanxian,30.8039,108.3897,53.24,72,70,0.52,CN,1612490577
154,bathsheba,13.2167,-59.5167,78.78,65,20,8.23,BB,1612490577
155,antofagasta,-23.65,-70.4,66.18,77,20,4.63,CL,1612490577
156,ussel,45.55,2.3167,47.98,55,88,1.01,FR,1612490577
157,goderich,43.7501,-81.7165,31.98,55,100,7.72,CA,1612490218
158,alofi,-19.0595,-169.9187,82.38,83,75,5.14,NU,1612490211
159,martapura,-3.4167,114.85,78.78,89,40,2.06,ID,1612489936
160,petropavlovsk-kamchatskiy,53.0452,158.6483,13.98,44,20,2.0,RU,1612490164
161,doctor arroyo,23.6667,-100.1833,67.17,22,0,3.08,MX,1612490283
162,ruidoso,33.3317,-105.673,44.58,33,75,2.57,US,1612490578
163,bethel,41.3712,-73.414,27.98,80,1,0.94,US,1612489971
164,yanam,16.7333,82.2167,67.98,94,20,3.09,IN,1612490229
165,leh,34.1667,77.5833,6.15,61,100,1.29,IN,1612490579
166,barrow,71.2906,-156.7887,-29.22,68,40,4.12,US,1612489977
167,tiksi,71.6872,128.8694,-20.02,88,100,3.26,RU,1612490168
168,tadine,-21.55,167.8833,81.95,77,0,6.48,NC,1612490580
169,chernyshevskiy,63.0128,112.4714,-33.79,85,98,1.38,RU,1612490203
170,hami,42.8,93.45,28.34,85,0,1.23,CN,1612490122
171,waupun,43.6333,-88.7296,30.18,93,90,5.66,US,1612490580
172,birnin kebbi,12.4539,4.1975,71.94,21,0,4.96,NG,1612490580
173,biak,-0.9131,122.8766,81.16,73,100,0.64,ID,1612490185
